curr,dest,arrival_time,end_time,wait_time
1,5,16037.005023690665,16074,36.99497630933547
4,1,16184.850058085687,16220,35.149941914312876
1,3,16239.935306822754,16278,38.06469317724623
1,9,16335.05631953663,16389,53.943680463369674
1,7,16548.36162317476,16585,36.63837682524172
4,1,16777.73179166171,16814,36.268208338289696
1,4,17065.434846297052,17091,25.56515370294801
1,3,17182.37040263778,17212,29.629597362218192
1,5,17333.003824980482,17369,35.99617501951798
3,8,17425.066280854768,17466,40.93371914523232
1,2,17922.896365880497,17969,46.10363411950311
1,6,18151.932911042437,18188,36.0670889575631
1,4,18437.211806203395,18483,45.7881937966049
4,9,18529.941533006662,18583,53.05846699333779
1,3,18588.720162867667,18627,38.27983713233334
3,5,18772.394003689453,18819,46.6059963105472
2,9,18852.898093952364,18952,99.10190604763557
4,1,18916.095618169114,18970,53.90438183088554
1,5,18944.297381387863,19018,73.70261861213658
5,9,19129.03292383807,19174,44.96707616193089
1,3,19498.193785193936,19533,34.80621480606351
1,4,19500.94891908051,19545,44.05108091948932
3,4,19670.28321969121,19711,40.716780308790476
4,9,20063.43750039043,20096,32.562499609568476
1,3,20108.74941390747,20141,32.250586092530284
1,4,20302.74755028081,20337,34.252449719191645
1,2,20661.428108439133,20687,25.57189156086679
1,3,20734.625166913735,20774,39.374833086265426
1,6,20760.24476605276,20803,42.755233947238594
1,3,20839.55772510922,20869,29.442274890778208
1,3,20925.155179515325,20959,33.84482048467544
4,1,20936.973458068056,21014,77.02654193194394
1,9,20957.099917928797,21065,107.90008207120263
1,5,20982.542830079037,21039,56.45716992096277
4,1,21067.959217497653,21130,62.0407825023467
1,4,21069.869223409303,21176,106.13077659069677
1,8,21321.418292656643,21375,53.581707343357266
1,4,21377.736305419945,21407,29.263694580055017
1,4,21447.720436334563,21482,34.27956366543731
1,6,21482.70479445357,21537,54.295205546430225
1,9,21491.774102967254,21559,67.2258970327457
1,6,21558.25077778405,21635,76.74922221594898
1,6,21584.42636038009,21635,50.573639619909954
5,9,21621.38280799463,21695,73.61719200537118
1,4,21668.618791810033,21735,66.38120818996686
1,5,21670.701218029044,21749,78.29878197095604
1,5,21760.944866215406,21804,43.055133784593636
1,4,21821.966458805655,21864,42.03354119434516
1,3,22050.791422013826,22082,31.208577986173623
1,5,22214.965913174077,22251,36.034086825922714
4,1,22335.37741480749,22376,40.62258519250827
1,9,22341.36751520576,22462,120.63248479424146
1,4,22354.84215977616,22430,75.15784022384105
1,3,22532.220042133697,22558,25.779957866303448
6,8,22545.72670579773,22594,48.273294202270336
1,6,22607.14219072452,22650,42.85780927547967
1,3,22753.12303204895,22829,75.87696795105148
4,1,22760.655641608646,22843,82.34435839135404
1,9,22980.015595786073,23038,57.98440421392661
1,4,23055.634444004118,23079,23.36555599588246
1,3,23253.943315706212,23286,32.05668429378784
1,3,23344.21928074359,23373,28.78071925641052
3,4,23437.96413602998,23481,43.03586397002073
3,5,23546.750900454408,23591,44.24909954559189
3,9,23643.137974451925,23701,57.8620255480746
